Id,SalePrice
1461,113459.35975
1462,152017.14347
1463,192116.90962
1464,190409.59461
1465,220424.20463
1466,182573.25869
1467,179810.85992
1468,175157.48691
1469,179297.22526
1470,114508.551
1471,173402.90457
1472,94493.805906
1473,101336.02837
1474,154291.6297
1475,113866.73316
1476,368015.71584
1477,288504.98674
1478,283468.5672
1479,301936.23494
1480,409306.02323
1481,325378.52001
1482,241353.32738
1483,192887.10311
1484,164171.49124
1485,150434.5739
1486,201923.79493
1487,328137.34305
1488,237667.87214
1489,210298.98448
1490,221288.40525
1491,192411.33815
1492,101713.70174
1493,162593.96963
1494,293535.90629
1495,291977.63436
1496,223597.66946
1497,210441.30935
1498,162564.11456
1499,163741.6323
1500,166453.83341
1501,189359.62563
1502,148344.80546
1503,243757.81675
1504,223398.16862
1505,219553.80558
1506,210262.64387
1507,248287.34896
1508,201638.15457
1509,164089.66273
1510,145778.24434
1511,143740.46225
1512,170046.18187
1513,134155.88925
1514,193412.84545
1515,233976.67721
1516,145977.23257
1517,159413.60729
1518,174946.93247
1519,199047.76729
1520,136060.31644
1521,141624.10291
1522,164746.30633
1523,137665.23154
1524,122002.04933
1525,119736.40364
1526,108258.95166
1527,119119.66702
1528,151949.47529
1529,139140.22121
1530,167053.03997
1531,122013.91082
1532,102054.07418
1533,134562.57302
1534,132205.9864
1535,169897.55836
1536,122582.91438
1537,67752.862884
1538,116649.99988
1539,151363.78893
1540,113494.30196
1541,136328.40126
1542,168601.33261
1543,168404.6567
1544,77826.50439
1545,99144.391787
1546,113786.67861
1547,136645.74566
1548,132863.92465
1549,110284.49273
1550,143902.8423
1551,113575.66985
1552,148025.46249
1553,156549.4999
1554,125694.6499
1555,197064.17219
1556,114211.32029
1557,112782.77695
1558,78210.118572
1559,104427.13401
1560,141889.25804
1561,155631.86366
1562,130709.28081
1563,109459.06783
1564,156670.3693
1565,138196.38909
1566,208932.48631
1567,76047.369912
1568,223317.56838
1569,153075.81188
1570,113161.71974
1571,136722.06544
1572,139604.11068
1573,192124.318
1574,134951.78251
1575,184151.54785
1576,195303.14458
1577,193275.02748
1578,161288.48599
1579,143203.7467
1580,197272.15059
1581,160382.72918
1582,126183.81351
1583,262599.07549
1584,229020.36134
1585,137789.47613
1586,86113.607614
1587,79550.114328
1588,129132.33253
1589,78926.298713
1590,120860.22429
1591,107890.1848
1592,121320.04691
1593,99678.551144
1594,194006.8827
1595,142571.96068
1596,255772.05013
1597,242994.12143
1598,188478.18055
1599,132146.62478
1600,148426.3997
1601,63445.770055
1602,101518.74595
1603,81485.731685
1604,245003.03028
1605,199958.89447
1606,154748.38851
1607,218274.25411
1608,220956.47574
1609,218508.33581
1610,174995.20922
1611,148542.7241
1612,189384.4393
1613,174171.62691
1614,102025.54691
1615,97166.151794
1616,97166.151794
1617,97590.657922
1618,129748.24413
1619,114827.3276
1620,222526.33296
1621,138922.63145
1622,151744.37076
1623,209730.22993
1624,192506.14462
1625,111537.36748
1626,166104.74137
1627,190560.32872
1628,241988.58373
1629,158596.99324
1630,392506.36093
1631,251348.9141
1632,279696.06694
1633,145694.18012
1634,194601.54815
1635,171959.84866
1636,166458.33083
1637,204327.13679
1638,174559.6963
1639,199185.90013
1640,244959.30947
1641,201474.80168
1642,227410.16407
1643,230360.93302
1644,223340.8128
1645,195300.73959
1646,146923.01706
1647,154420.43473
1648,142320.54837
1649,130533.8848
1650,100841.41954
1651,129547.82924
1652,94915.442742
1653,94702.146786
1654,157791.55516
1655,135643.41163
1656,155044.30865
1657,158579.68776
1658,155435.64181
1659,114140.90286
1660,146653.54099
1661,385322.31212
1662,383197.60067
1663,333192.89348
1664,410106.3546
1665,295808.79603
1666,294425.9209
1667,331698.32568
1668,296601.17989
1669,262374.65686
1670,304179.90831
1671,289470.30653
1672,373064.99641
1673,312078.84765
1674,273156.32535
1675,237840.26734
1676,230656.99906
1677,243612.3111
1678,355202.67617
1679,344923.73674
1680,334361.52588
1681,257451.35204
1682,281345.14393
1683,240893.61948
1684,179059.06518
1685,183642.37974
1686,172180.64708
1687,151524.23246
1688,197695.07311
1689,192837.83804
1690,181480.48327
1691,167368.30293
1692,217030.01474
1693,150434.5739
1694,180460.0758
1695,150006.56884
1696,245974.45822
1697,149203.82566
1698,339340.5419
1699,305293.23382
1700,267848.60727
1701,283352.93783
1702,253522.72636
1703,247740.78502
1704,251907.14667
1705,218478.94415
1706,333568.45419
1707,236520.43262
1708,219072.68216
1709,234259.71245
1710,220009.63245
1711,224878.52249
1712,285588.43727
1713,247037.33165
1714,229391.97263
1715,205672.27614
1716,180442.3115
1717,170314.13266
1718,169670.91091
1719,202092.18879
1720,207598.93108
1721,165965.38347
1722,164771.87404
1723,164771.87404
1724,220221.35478
1725,215637.94637
1726,184404.86228
1727,176698.93028
1728,171585.30701
1729,154626.7215
1730,196759.12606
1731,118812.41298
1732,107996.20555
1733,107996.20555
1734,111781.49721
1735,123295.75233
1736,112628.9923
1737,288096.82096
1738,258798.07201
1739,325035.26943
1740,270205.12415
1741,197448.65694
1742,189359.62563
1743,180688.20551
1744,287157.73792
1745,257586.42479
1746,204940.20126
1747,189092.89696
1748,243657.8413
1749,165209.32556
1750,138587.613
1751,219393.26951
1752,112059.59584
1753,174901.87436
1754,185663.9106
1755,163289.18937
1756,113444.80092
1757,110394.59265
1758,145998.01713
1759,165838.76012
1760,166089.57982
1761,134117.9788
1762,175782.79598
1763,164085.50087
1764,118630.4477
1765,184796.93684
1766,163351.30523
1767,205524.99797
1768,136076.54852
1769,152548.19834
1770,136191.39954
1771,124795.94748
1772,155739.09375
1773,126896.80065
1774,195879.54012
1775,127717.3219
1776,116709.24007
1777,102042.21604
1778,146686.81851
1779,136606.10041
1780,160645.51473
1781,139049.54857
1782,91526.388803
1783,137224.65626
1784,105143.33455
1785,112583.95466
1786,177568.84562
1787,150622.48224
1788,55615.410738
1789,74671.593
1790,93135.797588
1791,216863.45243
1792,157759.06244
1793,128705.31042
1794,140343.17142
1795,132212.65108
1796,89589.876292
1797,89199.536214
1798,126664.83326
1799,96416.022307
1800,117713.71686
1801,160410.59788
